"Bandamanna"	"Bárðar"	"Bjarnar"	"Brennu-Njáls"	"Droplaugarsona"	"Egla"	"Eiríks"	"Eyrbyggja"	"Finnboga"	"Fljótsdæla"	"Flóamanna"	"Fóstbræðra"	"Gísla Súrssonar L"	"Gísla Súrssonar S"	"Grænlendinga þáttur"	"Grænlendinga"	"Grettis"	"Gull-Þóris"	"Gunnars"	"Gunnlaugs"	"Hænsna-Þóris "	"Hallfreðar M"	"Hallfreðar Ó"	"Harðar og Hólmverja"	"Hávarðar"	"Heiðarvíga"	"Heimskringla"	"Hrafnkels"	"Jökuls þ"	"Kjalnesinga"	"Kormáks"	"Króka-Refs"	"Landnámabók"	"Laxdæla"	"Ljósvetninga A"	"Ljósvetninga C"	"Ölkofra"	"Reykdæla"	"Sturlunga"	"Svarfdæla"	"Þórðar hreðu"	"Þorsteins hvíta"	"Þorsteins S"	"Valla-Ljóts"	"Vatnsdæla "	"Víga-Glúms "	"Víglundar"	"Vopnfirðinga"
"Bandamanna"	0	0.974482650561477	0.867621802939732	0.914567740993188	1.14068331030392	1.05910634104042	0.950359352703003	1.06393611837952	1.0181492414927	0.890847243312696	0.88040981226192	0.924682770440853	0.916279332448952	0.753448501739961	1.01091401227231	1.22631237710358	0.943473589805237	1.10124047276669	1.14124635174372	0.917955763453018	0.92667564123351	0.925095954513352	1.0520384539908	0.966258843146553	1.00095885639851	0.935722581034848	1.04545601635306	0.881431915398549	0.886790509793913	1.06729224947751	0.998995248615462	0.997326459410786	1.11930459492819	0.961804981415994	0.995107394299692	0.747666300830269	1.16616255236787	1.37628911329813	1.01380268834242	0.872241194766597	1.0201605577118	1.0501258354503	0.902930945295114	0.808896403612433	0.852973249215816	0.806597472104204	1.11890743794138	1.01668375238323
"Bárðar"	0.974482650561477	0	0.868123393146744	0.900340015434269	1.20254800896646	0.908586269650092	0.951762244804449	0.789340728185594	0.889291433348368	0.780091810257222	0.970294149854352	0.915040055958539	0.872362039738137	0.872000322484999	1.20564292567985	1.15869614100061	0.742569914554976	0.899466131115668	1.10568603322927	0.980097952973824	0.95320707105773	0.878464592955149	0.877968727010486	0.771507771570865	1.00276303536818	0.906548182259135	0.815643274506101	0.914632234283263	1.02158372460351	0.857304514743858	1.03113372609207	0.836187034133725	0.995331337910765	0.850065703232228	1.26353715850345	0.845725989802598	1.35021381470453	1.28634644801324	0.784093809384186	0.881203669710679	0.930752259391003	1.13517630189293	0.961572711803903	0.994260747893663	0.797933661228485	0.890184690552874	0.818242635774288	1.02281187593369
"Bjarnar"	0.867621802939732	0.868123393146744	0	0.783019735053521	1.20860649138495	0.801767253692	0.942835456584	0.775845911088962	0.931615234131646	0.895387753407159	0.741023926099965	0.743908694431897	0.83768769911235	0.694691300823201	1.12069769636028	1.16514715664507	0.714691363151104	0.990729403121523	1.09530271858525	0.963149077987031	0.95655679679212	0.825831789660609	0.891165189739969	0.764033752679305	1.05419028007897	0.895460147441755	0.770731159543908	0.875801748505241	1.11772608289792	0.924432014924174	0.948251029973262	0.977948873439997	1.09535060038251	0.721399220663274	1.11546556260228	0.708178029159316	1.23642333456877	1.15407764471925	0.731341860142838	0.875746198958806	0.875566519981518	1.14185537756106	1.0030380686013	0.974651508010517	0.695646074528246	0.810237272987243	1.03225653896912	1.03635411398664
"Brennu-Njáls"	0.914567740993188	0.900340015434269	0.783019735053521	0	1.072963279619	0.806681178614896	0.9861364365266	0.707815478661439	0.692619746266268	0.737600617816563	0.811348024083137	0.743746554517297	0.777478133547275	0.707113009858828	1.12696390752528	1.13377609410048	0.611850205109538	0.89999206507011	0.91164404356484	0.973398150750818	0.939392830197848	0.816989340545054	0.790544789731243	0.726098369359172	0.923778017333064	0.841786746361525	0.755718100159745	0.875490576249866	1.09931811274814	0.873432363648301	0.81106471777901	0.828334873562437	0.998121982717853	0.699314877732259	1.04275527149755	0.657860429108374	1.29106011265188	1.15200106093811	0.614477326444357	0.800773791012332	0.736833308606105	1.20117555051168	1.04657645290032	0.877514652977546	0.674351464329702	0.746442741249101	0.921513911269212	1.02750601000967
"Droplaugarsona"	1.14068331030392	1.20254800896646	1.20860649138495	1.072963279619	0	1.30264786458003	1.14594911715548	1.17805357632288	1.10423405318409	1.11779472404081	1.05774956590165	1.17384059439746	1.19269847464686	1.08999954611773	1.17633397525789	1.14794269156095	1.14990554934463	1.14144015358607	1.19633801428825	1.21663067512146	1.1777776257869	1.043060304424	1.26089693780377	1.1094394149332	1.13563867408984	1.13051947208461	1.26766197573397	1.16563622329183	1.21726334716489	1.28921182886636	0.985011101418825	1.1983427590451	1.17610569812628	1.11580860188002	1.30825355921643	1.0534781009345	1.44713635179296	1.40706737687082	1.1168316095438	1.1645702472551	1.13401696475638	1.21524502444951	1.11231331534335	1.05462885680693	1.06054480444483	1.15265223044807	1.22086425722136	1.26999356780313
"Egla"	1.05910634104042	0.908586269650092	0.801767253692	0.806681178614896	1.30264786458003	0	1.07031480800653	0.707310277052	0.94772376698015	0.83883118009254	0.924638387068264	0.832014542531178	0.881939139000306	0.928141504368309	1.31834401696351	1.2177621390508	0.702233870133782	0.924945572374707	1.0557327969646	1.16443074706861	1.10831099172365	0.956298606013303	0.884824650604351	0.906786725324425	1.05715457323445	1.0647515324262	0.506774950834674	1.04914686730662	1.21999088789685	1.0305987215517	1.07906489544424	1.03157813711411	1.07764994251106	0.784773114997726	1.35498879407049	0.856538231743701	1.39321083662474	1.18666023661508	0.611939083632881	0.951531126877395	1.08029420343555	1.28669812605331	1.10203278919004	1.15202365831458	0.887533515642669	0.795552694346641	0.957918126756163	1.11008962301008
"Eiríks"	0.950359352703003	0.951762244804449	0.942835456584	0.9861364365266	1.14594911715548	1.07031480800653	0	0.975788375754305	1.0688237034492	0.970256144072254	0.904674955008227	0.964856359829023	1.0411111598233	0.95526669580059	1.07802943797475	1.09907438311271	0.945966106586774	1.05387213524934	1.15856283768157	0.972582039792379	0.984775251853157	0.956401602864078	1.13590256007203	0.91700400154818	1.12105081106462	1.01117625219279	1.01015297470114	0.988995042742449	0.994198220915606	1.00338812415646	0.866609394484959	1.04629424511516	1.01943412306974	0.919519382480488	1.2242924904664	0.934856407104319	1.26735785484646	1.28664126169048	0.904065931448957	0.990539795557723	0.981981364474831	1.25586861245223	1.05125739254587	1.02087072083768	0.93105895788895	1.01579849839172	1.04031898569641	1.09240481738145
"Eyrbyggja"	1.06393611837952	0.789340728185594	0.775845911088962	0.707815478661439	1.17805357632288	0.707310277052	0.975788375754305	0	0.799725791947005	0.85165076236161	0.863280916069071	0.802835366477544	0.861007586278176	0.851020882947469	1.26235267297623	1.1895419516026	0.583542203138033	0.803142941146514	1.02862892465811	1.03490708445421	0.969963394696806	0.858360220702461	0.855028082147933	0.744944060050669	0.967692043450234	0.890194541050124	0.725192650216642	0.990711691218225	1.13456962090412	0.838954410503712	0.886564119697535	0.851913041547924	0.984645110835491	0.685135992157685	1.24542673384939	0.79558834092255	1.41213995558754	1.2104221189286	0.524674996953194	0.872207308650065	0.883625853773602	1.26411380983442	1.09434083612872	0.998789140354963	0.830747491413493	0.750735256999979	0.883234909294976	1.07128897629457
"Finnboga"	1.0181492414927	0.889291433348368	0.931615234131646	0.692619746266268	1.10423405318409	0.94772376698015	1.0688237034492	0.799725791947005	0	0.759251708529803	0.850410877509922	0.854190644759307	0.935397415510195	0.797096014954112	1.23536778572484	1.13013536020099	0.746864057933805	0.960699269834061	0.974228211433236	1.03689164304389	0.975074321865778	0.863709941603498	0.939169970542263	0.767337352322039	0.792060779772978	1.00776342170582	0.887110380120644	0.914414999453958	1.18335562945621	0.946624021759412	0.895340808135165	0.893218243368089	1.05145832369367	0.767899945167576	1.21626753691581	0.838321195469136	1.33571606263152	1.09190812139915	0.781358522410827	0.921768265569864	0.870764009035222	1.2495998345407	1.07293700476792	1.0405069582916	0.75365675436835	0.798685017921854	0.888845672897926	1.18397352182266
"Fljótsdæla"	0.890847243312696	0.780091810257222	0.895387753407159	0.737600617816563	1.11779472404081	0.83883118009254	0.970256144072254	0.85165076236161	0.759251708529803	0	0.804296039119589	0.741567364065635	0.809287284099631	0.689615639127712	1.18850677026646	1.22215402511853	0.691398967169426	1.02248108777752	1.02636324514558	1.08313403528712	0.825975189337828	0.938177261889184	0.958176120281395	0.720251690379186	0.887078290755522	0.872805759384955	0.875267258409174	0.692863959969406	1.12254713921316	0.899421950915375	0.947317851391776	0.85674811078592	1.03960370118	0.711161521247282	1.20504346072092	0.736976069035159	1.24689169947159	1.1849820575729	0.807805236844662	0.859794849127568	0.873916005298197	1.23253449714298	0.981513637176353	0.943924072040794	0.668288216907937	0.746072601752983	0.919458400270186	1.1268341318421
