"Bandamanna"	"Bárðar"	"Bjarnar"	"Brennu-Njáls"	"Droplaugarsona"	"Egla"	"Eiríks"	"Eyrbyggja"	"Finnboga"	"Fljótsdæla"	"Flóamanna"	"Fóstbræðra"	"Gísla Súrssonar L"	"Gísla Súrssonar S"	"Grænlendinga þáttur"	"Grænlendinga"	"Grettis"	"Gull-Þóris"	"Gunnars"	"Gunnlaugs"	"Hænsna-Þóris "	"Hallfreðar M"	"Hallfreðar Ó"	"Harðar og Hólmverja"	"Hávarðar"	"Heiðarvíga"	"Heimskringla"	"Hrafnkels"	"Íslendinga þættir"	"Jökuls þ"	"Kjalnesinga"	"Kormáks"	"Króka-Refs"	"Landnámabók"	"Laxdæla"	"Ljósvetninga A"	"Ljósvetninga C"	"Ölkofra"	"Reykdæla"	"Sturlunga"	"Svarfdæla"	"Þórðar hreðu"	"Þorsteins hvíta"	"Þorsteins S"	"Valla-Ljóts"	"Vatnsdæla "	"Víga-Glúms "	"Víglundar"	"Vopnfirðinga"
"Bandamanna"	0	1.16696868513195	1.09012989754497	1.01317441822676	1.39712227685632	1.23636203965311	1.43741978162906	1.2482759773469	1.01992110656733	0.963122989056625	1.13069425684446	1.03318150979385	0.979744002236121	0.95725185869551	1.48860504858001	1.41233026362797	1.09878683172074	1.46785681829382	1.43627809346889	1.14498215321221	1.07318020629313	1.20400711734509	1.24320069820101	1.21544379586675	1.09904099768712	0.974660310378887	1.28210099937852	1.03181001947134	0.91552138065934	1.37458471665973	1.28951255237365	1.17607138305852	1.04145476896143	1.44226630765868	0.989671760196742	1.23976481852317	0.946694755438544	1.38700823887676	1.38611883591745	1.27872784093563	1.06331920018049	1.16013034694622	1.39325776449518	1.14891585409918	1.17944792215559	0.960808268231889	0.989541216836845	1.2680300149773	1.23898715577588
"Bárðar"	1.16696868513195	0	1.00170239495447	0.851949988291623	1.00144324486081	0.879874186673518	0.995296677397178	0.807160393077514	0.90408379587351	0.889367736887057	0.862385873215007	0.921338188032076	0.895973986832413	0.970445995409629	1.36427703385826	1.06824737780593	0.776897722494621	1.00445566134058	1.10499045138397	1.01154000463988	1.17055288482308	1.07623700037373	1.04364124105296	0.852348647578525	0.936609098753726	0.984193966792312	0.893372196599497	0.970116219587051	0.861623004995098	1.1643935637919	0.976686974680418	0.929750774152754	0.92752452861627	1.10972700110152	0.839570769862782	1.20643214717453	1.0692169916317	1.43078633187878	1.20303611187432	0.823986284776611	0.919091708636346	0.965240317421158	1.22678932025932	1.16635343682019	1.10946908902769	0.92587972225697	1.00142708833	0.880108698584988	1.05988671916298
"Bjarnar"	1.09012989754497	1.00170239495447	0	0.784234772805602	1.03137320867199	0.905679947847089	1.02745044730865	0.839081947738227	0.834870192463933	0.910355520855322	0.773936616963875	0.843529891819792	0.757508746176373	0.776108536973831	1.24426152827982	1.14072272035271	0.795213107944576	1.01869637900124	1.14735073901722	0.962995951554951	1.05877415132843	0.936865124069771	0.989784226299358	0.785335410585173	0.916596448751962	0.887642476557701	0.889385865451517	0.966347170415056	0.690341741028365	1.33079871076402	1.08955596282291	0.899748764877845	0.958357306492341	1.18561183902971	0.759512565061145	1.03719642795414	0.828771155789352	1.39361781583484	0.981831764704191	0.773298902002969	0.907646579157055	0.866191123916416	1.18401429831197	1.02304286156047	0.988754888861872	0.731527278511671	0.75006854264273	1.05101415185911	0.867289142026365
"Brennu-Njáls"	1.01317441822676	0.851949988291623	0.784234772805602	0	0.972165173412026	0.859026157773416	1.05414115421053	0.721052802201778	0.773625662879554	0.75147967657371	0.772288387738796	0.750169910805904	0.73348911680051	0.73934497805093	1.22239787852853	1.0676844535707	0.58446647291521	0.987595266312644	0.987973401424535	0.99150726056401	0.967970329198989	0.909449506127466	0.839033347523972	0.74631058918822	0.806684612963713	0.899340725956028	0.911926281204358	0.843107630385741	0.62613707637103	1.17020523419548	0.866643169942174	0.85969999179142	0.819703355813364	1.20488701230125	0.718784103454658	1.00509160746337	0.722176263599779	1.30539627637031	1.12189153433421	0.73502544832337	0.774892568862805	0.798648155121579	1.17949279752205	1.04539900146736	0.938308448669671	0.673828278462367	0.788272551543151	0.877407388592148	0.968382308749987
"Droplaugarsona"	1.39712227685632	1.00144324486081	1.03137320867199	0.972165173412026	0	1.05187571129999	1.10848354924158	0.930401704860913	1.08100132964284	1.11503792142187	0.996496375306248	1.07278924123198	1.05176702763566	1.08080188608189	1.37967075832359	1.15779196081949	0.94049273698323	0.967245401193468	1.23234310658887	1.10675720116673	1.32895255383703	1.12917797064502	1.19911402718184	0.956755504267417	1.08678647709199	1.20982598648991	1.10985097762058	1.12311626669066	1.03534483876368	1.36579623598403	1.10411388908312	0.971323511662447	1.12643762330312	1.15378270615284	1.0104028928733	1.24823116625393	1.12595738381886	1.56419016025111	1.28510245238771	0.884811964493953	1.03742257707927	1.08309173720498	1.2567363545624	1.24082125875067	1.1905678656221	1.04919214970229	1.06666632736181	1.14257735374428	1.07285010687822
"Egla"	1.23636203965311	0.879874186673518	0.905679947847089	0.859026157773416	1.05187571129999	0	0.962664125888209	0.650955021585627	0.915587056263221	0.909272353198235	0.888201398899335	0.850002293546387	0.874703847737603	0.997814471569031	1.34731699281776	1.12670319698116	0.742911628008819	0.990243929885439	1.09194640192393	1.10330890616683	1.24770030999631	1.03363970246495	0.967234260340061	0.940886711918414	0.923690232186257	1.0137667819712	0.559238135029801	1.01115379623925	0.780281440487103	1.34357644811758	0.974541080225653	0.995040011119914	0.931004866860079	1.24988609772391	0.784212163357475	1.23047429010609	1.03422406089561	1.37138841726871	1.11587845729222	0.651306038557508	0.969513396428855	1.051265503954	1.23320276497466	1.25111828521882	1.15671459238289	0.935086417373914	0.910172968524406	1.02630865971343	1.03987444473114
"Eiríks"	1.43741978162906	0.995296677397178	1.02745044730865	1.05414115421053	1.10848354924158	0.962664125888209	0	0.928763899817388	1.10033687212028	1.08104590781559	0.997334054135691	1.00992931716991	1.02257758285573	1.07369577537625	1.38411288429892	1.18566309363119	0.941581980584153	1.12880967288099	1.29120783622801	1.14075561146317	1.31821909617074	1.17252517737264	1.21942526762067	0.966024071564916	1.14481259906798	1.10026890755825	1.01837827084417	1.19358279235692	1.02470908751991	1.30581585004186	1.18302758552083	1.0727399730383	1.16928198470097	1.21333475011427	0.98455943349748	1.27762796851366	1.16836228087306	1.51897770349474	1.30173108760353	0.894250995257852	1.09627330052394	1.1600719414056	1.33047549625759	1.25804641702122	1.21641543239101	1.0236880277407	1.10393733596176	1.13167130760515	1.12397567575029
"Eyrbyggja"	1.2482759773469	0.807160393077514	0.839081947738227	0.721052802201778	0.930401704860913	0.650955021585627	0.928763899817388	0	0.864159265290021	0.863840745612592	0.780195027176012	0.824211405385229	0.853383168594348	0.898594551402508	1.31993441766231	1.10822797894892	0.596410448309012	0.866880198107251	1.06074068184543	0.9965700431418	1.15615710571475	0.96298064096214	0.89875231556406	0.775787067546455	0.894900354324779	0.990381824269537	0.753192550699902	0.958466088890204	0.750827973496823	1.27293422961664	0.959763930596447	0.90820715891165	0.960182153236435	1.17022193479828	0.768167165935474	1.19466681954876	0.967775906596539	1.37020754517557	1.12625832645426	0.588376561499886	0.896127087643069	0.96791797155841	1.20103687838862	1.18767118780203	1.12030477337375	0.834508136317618	0.861519312781636	0.938698409491635	0.932637841531666
"Finnboga"	1.01992110656733	0.90408379587351	0.834870192463933	0.773625662879554	1.08100132964284	0.915587056263221	1.10033687212028	0.864159265290021	0	0.849822299034201	0.785980253647617	0.840539784526525	0.7989068987057	0.853993544212793	1.3839290185796	1.21703778623223	0.702613229790059	1.09699511784718	1.0584599498312	0.954580553821755	0.997447726613674	0.922986977340578	0.917812909687988	0.812574824399031	0.738022163594787	0.931873721143356	0.9820975366899	0.876195542286441	0.677628927189934	1.26265100682835	0.989029076084197	0.959521151844856	0.881607348652737	1.25746959380116	0.727186770665934	1.1375129868427	0.928376811299	1.32910191354883	0.997412313158403	0.864138534064105	0.883840063800451	0.824711833984071	1.1659746032892	1.06156180124191	1.08166878416274	0.773582506557968	0.818093094245222	0.994055439905989	0.989360152876158
"Fljótsdæla"	0.963122989056625	0.889367736887057	0.910355520855322	0.75147967657371	1.11503792142187	0.909272353198235	1.08104590781559	0.863840745612592	0.849822299034201	0	0.867907336803642	0.721473339719729	0.71656415863896	0.775437922853364	1.40088951136597	1.14070049199445	0.688641838234976	1.18552055592787	1.14412285296979	1.07733429618857	0.901984077729438	1.00533225628048	0.971354947880986	0.886891482263354	0.878150802553152	0.88360134479436	0.978653987833972	0.753883043185664	0.667494402091295	1.26171267395521	0.998715629808077	0.979119745930647	0.878463295634503	1.23833455343146	0.6936585856451	1.16766794320905	0.811767315863089	1.36262302821084	1.20718328325449	0.933860706558889	0.812042481920759	0.869768068045369	1.26593613524205	1.04918085369696	0.99313515172767	0.805988147454584	0.836269516522501	0.989632856636018	1.07295404268134
